m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
3.519560e+07,3.519560e+07,0.16058800,5.22711550,3.063955e+07,7.039120e+07,1.00000000,0.25000000,1,6.246768e-05,gap,0,0,1
4.045365e+06,4.045365e+06,0.16077200,5.21998872,3.521694e+06,8.090729e+06,1.00000000,0.25000000,1,5.434831e-04,gap,0,0,1
5.155285e+07,5.155285e+07,0.16081400,5.21836399,4.487936e+07,1.031057e+08,1.00000000,0.25000000,1,4.264725e-05,gap,0,0,1
1.438875e+06,1.438875e+06,0.16098100,5.21191323,1.252614e+06,2.877750e+06,1.00000000,0.25000000,1,1.527990e-03,lisa,0,1,0
1.629451e+07,1.629451e+07,0.16104899,5.20929059,1.418519e+07,3.258902e+07,1.00000000,0.25000000,1,1.349281e-04,gap,0,0,1
9.137703e+07,9.137703e+07,0.16143601,5.19440497,7.954832e+07,1.827541e+08,1.00000000,0.25000000,1,2.406061e-05,gap,0,0,1
2.409123e+07,2.409123e+07,0.16144000,5.19425174,2.097264e+07,4.818246e+07,1.00000000,0.25000000,1,9.126090e-05,gap,0,0,1
1.243524e+06,1.243524e+06,0.16148201,5.19264042,1.082550e+06,2.487048e+06,1.00000000,0.25000000,1,1.768030e-03,lisa,0,1,0
2.213995e+06,2.213995e+06,0.16165000,5.18620469,1.927394e+06,4.427989e+06,1.00000000,0.25000000,1,9.930410e-04,lisa,0,1,0
1.548184e+06,1.548184e+06,0.16172700,5.18325958,1.347773e+06,3.096369e+06,1.00000000,0.25000000,1,1.420107e-03,lisa,0,1,0
1.951934e+06,1.951934e+06,0.16173300,5.18303000,1.699257e+06,3.903868e+06,1.00000000,0.25000000,1,1.126364e-03,lisa,0,1,0
1.173835e+07,1.173835e+07,0.16192500,5.17569851,1.021883e+07,2.347670e+07,1.00000000,0.25000000,1,1.872995e-04,gap,0,0,1
1.388800e+06,1.388800e+06,0.16203301,5.17158208,1.209021e+06,2.777600e+06,1.00000000,0.25000000,1,1.583084e-03,lisa,0,1,0
1.225065e+06,1.225065e+06,0.16205700,5.17066844,1.066481e+06,2.450130e+06,1.00000000,0.25000000,1,1.794670e-03,lisa,0,1,0
1.495143e+06,1.495143e+06,0.16205700,5.17066844,1.301598e+06,2.990286e+06,1.00000000,0.25000000,1,1.470486e-03,lisa,0,1,0
4.986109e+06,4.986109e+06,0.16220701,5.16496177,4.340660e+06,9.972217e+06,1.00000000,0.25000000,1,4.409425e-04,gap,0,0,1
