m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut
3.519560e+07,1.332451e+06,0.16058800,5.22711550,4.899575e+06,3.652805e+07,0.03785844,0.03514686,1
6.577281e+06,4.045365e+06,0.16077200,5.21998872,4.464326e+06,1.062265e+07,0.61505120,0.23579722,1
5.155285e+07,1.304008e+06,0.16081400,5.21836399,5.648062e+06,5.285686e+07,0.02529459,0.02406192,1
1.438875e+06,1.325614e+06,0.16098100,5.21191323,1.202101e+06,2.764489e+06,0.92128503,0.24958037,1
1.629451e+07,1.479377e+06,0.16104899,5.20929059,3.795907e+06,1.777389e+07,0.09078991,0.07630542,1
9.137703e+07,1.710466e+06,0.16143601,5.19440497,8.367442e+06,9.308750e+07,0.01871878,0.01803719,1
2.409123e+07,1.207765e+06,0.16144000,5.19425174,3.959900e+06,2.529900e+07,0.05013297,0.04546057,1
1.253568e+06,1.243524e+06,0.16148201,5.19264042,1.086912e+06,2.497092e+06,0.99198748,0.24999596,1
2.213995e+06,1.220616e+06,0.16165000,5.18620469,1.418658e+06,3.434610e+06,0.55131822,0.22908706,1
2.484854e+06,1.548184e+06,0.16172700,5.18325958,1.698039e+06,4.033038e+06,0.62304843,0.23651509,1
1.951934e+06,1.637245e+06,0.16173300,5.18303000,1.555064e+06,3.589179e+06,0.83878117,0.24807819,1
1.173835e+07,1.314656e+06,0.16192500,5.17569851,3.089651e+06,1.305301e+07,0.11199664,0.09057286,1
1.388800e+06,1.331175e+06,0.16203301,5.17158208,1.183619e+06,2.719975e+06,0.95850752,0.24988779,1
1.680942e+06,1.225065e+06,0.16205700,5.17066844,1.246143e+06,2.906007e+06,0.72879675,0.24384764,1
1.495143e+06,1.187874e+06,0.16205700,5.17066844,1.158637e+06,2.683017e+06,0.79448856,0.24672108,1
5.992368e+06,4.986109e+06,0.16220701,5.16496177,4.754531e+06,1.097848e+07,0.83207654,0.24789973,1
1.397386e+06,1.373041e+06,0.16250101,5.15380801,1.205842e+06,2.770427e+06,0.98257854,0.24998070,1
1.035065e+08,1.269182e+06,0.16264400,5.14839777,7.362797e+06,1.047757e+08,0.01226186,0.01196660,1
1.845143e+06,1.336427e+06,0.16288701,5.13922509,1.363506e+06,3.181571e+06,0.72429475,0.24360844,1
1.264870e+06,1.261887e+06,0.16297100,5.13606083,1.099834e+06,2.526757e+06,0.99764124,0.24999965,1
6.695822e+07,1.257821e+06,0.16308001,5.13195952,6.144356e+06,6.821604e+07,0.01878516,0.01809880,1
4.406112e+07,1.516563e+06,0.16315500,5.12914084,5.796945e+06,4.557768e+07,0.03441954,0.03216708,1
3.668054e+07,5.251417e+06,0.16327900,5.12448642,1.112547e+07,4.193196e+07,0.14316629,0.10955241,1
1.612400e+06,1.275483e+06,0.16345499,5.11789198,1.246730e+06,2.887883e+06,0.79104597,0.24659727,1
1.342961e+06,1.228076e+06,0.16367300,5.10974326,1.117768e+06,2.571038e+06,0.91445410,0.24950083,1
9.879894e+06,1.317696e+06,0.16394299,5.09968126,2.876839e+06,1.119759e+07,0.13337143,0.10382891,1
1.374166e+06,1.358832e+06,0.16403700,5.09618546,1.189584e+06,2.732998e+06,0.98884157,0.24999213,1
1.369300e+06,1.327610e+06,0.16415800,5.09169209,1.173730e+06,2.696910e+06,0.96955353,0.24994026,1
1.716209e+07,1.392750e+06,0.16433400,5.08516804,3.744334e+06,1.855484e+07,0.08115272,0.06942709,1
9.757366e+06,1.381591e+06,0.16452900,5.07795602,2.940752e+06,1.113896e+07,0.14159470,0.10864834,1
1.808164e+06,1.400047e+06,0.16482800,5.06693029,1.382852e+06,3.208211e+06,0.77429235,0.24595441,1
3.081340e+06,1.482890e+06,0.16512100,5.05616473,1.836689e+06,4.564231e+06,0.48124850,0.21933783,1
1.636448e+06,1.260010e+06,0.16551299,5.04182171,1.247936e+06,2.896459e+06,0.76996656,0.24577728,1
2.054473e+06,1.397542e+06,0.16562299,5.03780897,1.469686e+06,3.452015e+06,0.68024356,0.24094613,1
1.345062e+06,1.256112e+06,0.16564800,5.03689757,1.131432e+06,2.601174e+06,0.93386888,0.24970765,1
1.508370e+07,1.427825e+06,0.16580100,5.03132658,3.600414e+06,1.651153e+07,0.09466015,0.07899663,1
1.630971e+06,1.353357e+06,0.16580699,5.03110868,1.292248e+06,2.984328e+06,0.82978584,0.24783663,1
1.804753e+06,1.351822e+06,0.16600400,5.02395115,1.356935e+06,3.156575e+06,0.74903398,0.24485277,1
1.583688e+06,1.437071e+06,0.16653299,5.00481610,1.313002e+06,3.020759e+06,0.90742085,0.24941106,1
1.647963e+06,1.362690e+06,0.16708900,4.98483442,1.303390e+06,3.010652e+06,0.82689344,0.24775539,1
1.310359e+06,1.225340e+06,0.16752200,4.96936528,1.102982e+06,2.535698e+06,0.93511766,0.24971895,1
2.213183e+06,1.477045e+06,0.16757800,4.96737053,1.567602e+06,3.690227e+06,0.66738478,0.24005161,1
1.374824e+06,1.343169e+06,0.16789500,4.95610337,1.182979e+06,2.717994e+06,0.97697537,0.24996609,1
4.395453e+06,1.197250e+06,0.16828001,4.94247663,1.919503e+06,5.592703e+06,0.27238371,0.16824607,1
2.532448e+06,1.309510e+06,0.16837400,4.93915918,1.568480e+06,3.841957e+06,0.51709257,0.22466951,1
2.160850e+06,1.492397e+06,0.16838001,4.93894737,1.558008e+06,3.653248e+06,0.69065285,0.24163004,1
1.477635e+06,1.379318e+06,0.16869199,4.92796364,1.242677e+06,2.856953e+06,0.93346324,0.24970393,1
1.630100e+06,1.602849e+06,0.16869199,4.92796364,1.407163e+06,3.232950e+06,0.98328242,0.24998224,1
1.107436e+07,1.371091e+06,0.16877300,4.92511851,3.089077e+06,1.244545e+07,0.12380771,0.09803106,1
