m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
1.836743e+08,1.320585e+06,0.17291901,4.78305416,9.494168e+06,1.849949e+08,0.00718982,0.00708754,1,2.376917e-05,gap,0,0,1
1.792885e+06,1.594582e+06,0.17303100,4.77931122,1.471447e+06,3.387467e+06,0.88939447,0.24914326,1,1.298072e-03,lisa,0,1,0
1.426337e+06,1.188221e+06,0.17358300,4.76093281,1.132379e+06,2.614558e+06,0.83305769,0.24792642,1,1.681804e-03,lisa,0,1,0
6.957293e+06,1.189433e+06,0.17364700,4.75880954,2.335993e+06,8.146726e+06,0.17096204,0.12468496,1,5.397475e-04,gap,0,0,1
1.755241e+06,1.320623e+06,0.17376301,4.75496476,1.322744e+06,3.075864e+06,0.75238842,0.24500861,1,1.429574e-03,lisa,0,1,0
1.814836e+06,1.546073e+06,0.17395601,4.74857977,1.457300e+06,3.360909e+06,0.85190783,0.24840131,1,1.308329e-03,lisa,0,1,0
1.302619e+06,1.262948e+06,0.17399400,4.74732462,1.116568e+06,2.565567e+06,0.96954520,0.24994023,1,1.713919e-03,lisa,0,1,0
2.875509e+07,4.443062e+06,0.17404900,4.74550845,9.112037e+06,3.319815e+07,0.15451393,0.11592291,1,1.324524e-04,gap,0,0,1
9.530779e+06,1.344821e+06,0.17425901,4.73858419,2.866719e+06,1.087560e+07,0.14110295,0.10836435,1,4.043156e-04,gap,0,0,1
1.274343e+07,1.377418e+06,0.17434201,4.73585219,3.285785e+06,1.412085e+07,0.10808848,0.08802997,1,3.113959e-04,gap,0,0,1
1.693947e+07,1.422418e+06,0.17436200,4.73519460,3.770273e+06,1.836189e+07,0.08397063,0.07146483,1,2.394729e-04,gap,0,0,1
3.707853e+07,1.305958e+06,0.17437001,4.73493114,4.945382e+06,3.838449e+07,0.03522141,0.03286550,1,1.145560e-04,gap,0,0,1
1.503366e+06,1.382552e+06,0.17438100,4.73456971,1.254847e+06,2.885918e+06,0.91963767,0.24956187,1,1.523666e-03,lisa,0,1,0
3.270800e+07,1.662548e+07,0.17446201,4.73190691,2.007375e+07,4.933348e+07,0.50830011,0.22343164,1,8.913166e-05,gap,0,0,1
3.300103e+06,1.448503e+06,0.17446500,4.73180867,1.872212e+06,4.748606e+06,0.43892660,0.21198963,1,9.259928e-04,lisa,0,1,0
7.372734e+07,2.861205e+07,0.17456400,4.72855801,3.912893e+07,1.023394e+08,0.38807924,0.20141504,1,4.296659e-05,gap,0,0,1
1.436137e+06,1.368040e+06,0.17482100,4.72013660,1.220157e+06,2.804177e+06,0.95258321,0.24985257,1,1.568080e-03,lisa,0,1,0
2.550030e+07,1.290210e+06,0.17488500,4.71804329,4.214317e+06,2.679051e+07,0.05059588,0.04583991,1,1.641318e-04,gap,0,0,1
1.311147e+06,1.279798e+06,0.17492400,4.71676843,1.127675e+06,2.590945e+06,0.97609040,0.24996340,1,1.697132e-03,lisa,0,1,0
1.246738e+07,3.794007e+06,0.17501800,4.71369802,5.790186e+06,1.626139e+07,0.30431470,0.17887850,1,2.704059e-04,gap,0,0,1
1.453550e+06,1.428702e+06,0.17513201,4.70997843,1.254517e+06,2.882252e+06,0.98290530,0.24998142,1,1.525604e-03,lisa,0,1,0
3.745837e+06,2.345852e+06,0.17519000,4.70808836,2.566623e+06,6.091689e+06,0.62625576,0.23679582,1,7.218318e-04,lisa,0,1,0
2.188471e+06,2.107854e+06,0.17530000,4.70450656,1.869689e+06,4.296325e+06,0.96316287,0.24991198,1,1.023473e-03,lisa,0,1,0
1.781946e+06,1.222730e+06,0.17554700,4.69648014,1.280488e+06,3.004676e+06,0.68617680,0.24134028,1,1.463444e-03,lisa,0,1,0
1.490877e+06,1.248636e+06,0.17562500,4.69395018,1.186839e+06,2.739513e+06,0.83751778,0.24804526,1,1.605094e-03,lisa,0,1,0
2.049646e+06,1.296847e+06,0.17568401,4.69203765,1.411961e+06,3.346493e+06,0.63271755,0.23734919,1,1.313965e-03,lisa,0,1,0
2.746191e+06,1.371453e+06,0.17572901,4.69058006,1.669618e+06,4.117644e+06,0.49940190,0.22213351,1,1.067886e-03,lisa,0,1,0
1.488264e+06,1.433100e+06,0.17581400,4.68782918,1.271325e+06,2.921364e+06,0.96293400,0.24991086,1,1.505179e-03,lisa,0,1,0
4.224949e+07,1.417857e+06,0.17581899,4.68766775,5.475717e+06,4.366735e+07,0.03355915,0.03141523,1,1.006971e-04,gap,0,0,1
2.209064e+06,1.469429e+06,0.17581999,4.68763540,1.561997e+06,3.678493e+06,0.66518172,0.23989270,1,1.195374e-03,lisa,0,1,0
3.589386e+06,1.444315e+06,0.17581999,4.68763540,1.942816e+06,5.033701e+06,0.40238498,0.20460077,1,8.735471e-04,lisa,0,1,0
1.952598e+06,1.334448e+06,0.17581999,4.68763540,1.400192e+06,3.287046e+06,0.68342178,0.24115870,1,1.337728e-03,lisa,0,1,0
